role_name,description,top_skills
ICT Product Manager,"Drives the lifecycle of ICT products by bridging the gap between technical development and market needs. They define product visions, manage roadmaps, and prioritize features to deliver value to users and the business.","[Product Lifecycle Management (PLM), Agile Methodologies, Stakeholder Management, Roadmap Planning, Technical Requirements Analysis]"
Data Warehouse Designer,"Architects and implements complex data storage systems to support business intelligence. They design schemas and data flows that ensure high performance, scalability, and data integrity for enterprise-wide reporting.","[ETL Processes, Dimensional Modeling, SQL, Schema Design, Data Architecture, Query Optimization]"
ICT Network Engineer,"Designs and maintains robust communication networks, including LANs, WANs, and cloud-connected infrastructure. They ensure high availability, security, and performance for all organizational data traffic.","[TCP/IP Protocols, Firewall Configuration, SD-WAN, Network Monitoring, Troubleshooting, Cisco/Juniper Systems]"
Venue Programmer,"Coordinates the scheduling and technical requirements for performances or events within a specific venue. They manage the logistics of artistic content, talent booking, and equipment staging.","[Project Management, Negotiation, Logistical Planning, Budgetary Constraints, Stakeholder Communication]"
Steam Engineer,"Operates and maintains high-pressure steam systems, boilers, and auxiliary equipment. They focus on thermal efficiency, mechanical reliability, and strict adherence to safety regulations.","[Thermodynamics, Preventive Maintenance, Safety Regulatory Compliance, Boiler Operation, Pressure System Diagnostics]"
Ship Assistant Engineer,Supports the Chief Engineer in the operation and repair of marine propulsion and electrical systems. They ensure the vessel remains operational and safe during voyages through rigorous machinery maintenance.,"[Marine Engineering, Fuel Management, Machinery Repair, Operational Safety, Engine Room Logging]"
Industrial Tool Design Engineer,"Creates blueprints for specialized tools, dies, and molds used in manufacturing processes. They use advanced modeling to improve production speed and ensure the mechanical integrity of high-precision tools.","[CAD/CAM Software, Finite Element Analysis (FEA), Material Science, Manufacturing Efficiency, Precision Engineering]"
Contract Engineer,Manages the technical specifications and legal obligations within engineering contracts. They act as a liaison between vendors and project teams to ensure compliance with the scope of work.,"[Procurement Processes, Contract Law, Technical Specifications, Risk Assessment, Vendor Management]"
Heating and Ventilation Service Engineer,"Specializes in the installation, repair, and maintenance of climate control systems. They ensure that indoor environments meet health standards and energy efficiency targets.","[HVAC Diagnostics, Refrigerant Handling, Electrical Circuitry, Energy Efficiency Standards, Reactive Maintenance]"
Pharmaceutical Engineer,Optimizes the chemical and mechanical processes used to produce medications. They ensure that manufacturing lines comply with strict health regulations and quality control standards.,"[Good Manufacturing Practices (GMP), Chemical Processing, Validation Protocols, Quality Control, Regulatory Compliance]"
Quality Engineer,Implements testing protocols and audits to ensure products meet defined quality standards. They focus on process improvement and defect prevention using statistical methodologies.,"[Statistical Process Control (SPC), Six Sigma, Root Cause Analysis, Quality Management Systems (QMS), Auditing]"
ICT Application Developer,"Builds and maintains software applications tailored to specific business functions. They write code, integrate APIs, and ensure the software is scalable and user-friendly.","[Java/C#/Python, RESTful API Integration, Version Control (Git), SDLC, Object-Oriented Programming]"
